spanish,english
hola,hello
buenos días,good morning
buenas noches,good night
por favor,please
gracias,thank you
de nada,you're welcome
perdón,sorry / excuse me
sí,yes
no,no
¿cómo estás?,how are you?
muy bien,very well
más o menos,so-so
¿cómo te llamas?,what's your name?
me llamo Nico,my name is Nico
mucho gusto,nice to meet you
¿de dónde eres?,where are you from?
soy de Oregón,I'm from Oregon
¿cuánto cuesta?,how much is it?
¿dónde está el baño?,where is the bathroom?
con permiso,excuse me (to pass)
lo siento,I'm sorry
no entiendo,I don't understand
¿puedes repetir?,can you repeat?
"más despacio, por favor","slower, please"
una mesa para dos,a table for two
"la cuenta, por favor","the check, please"
agua sin gas,still water
¿tienes cambio?,do you have change?
está bien,it's okay
no hay problema,no problem
me gusta,I like it
no me gusta,I don't like it
¿puedo?,may I? / can I?
necesito ayuda,I need help
buen provecho,enjoy your meal
buen viaje,have a good trip
que te vaya bien,take care
hasta luego,see you later
hasta mañana,see you tomorrow
nos vemos,see you (later)
¿qué hora es?,what time is it?
ahorita,right now / in a bit (MX)
órale,alright! / wow! (MX)
¿mande?,pardon? (polite MX)
chido,cool (MX)
¡qué padre!,how cool! (MX)
ahorita regreso,I'll be right back
permíteme tantito,give me a sec (MX)
¿me ayudas?,can you help me?
sin azúcar,without sugar
con todo,with everything
